Post Text,Media Link,Media Type,Post Date,Likes Numeric,Comments Numeric,Shares Numeric
"Dominance, dominance, dominance: Belgian and Nike athlete Nafi Thiam earned her third straight heptathlon gold in Paris today.""When I get on the track, it’s like I have another personality,” Nafi told us this week. “I feel like a superhero. And I think you can see that. I’m not everyday Nafi — I’m athlete Nafi, ready to step on that track and be the best athlete I can be.”Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2023 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"The face you make when you make history. Nike athlete Faith Kipyegon earned her third Olympic gold medal today in the Women’s 1,500 Meter — the first athlete to ever have three golds in the distance — with a time of 3:51.29, setting a new Olympic record.The 30-year-old Kenyan runner is the current world record holder for both the mile and the 1,500 meter — and she broke her own record last month during the Paris Diamond League event with a time of 3:49.04 in the 1,500 meter. Representing Team Kenya, her previous two Olympic Golds were in the 1,500 meter, earned in Rio and Tokyo respectively. Faith is a member of the Nike Athlete Think Tank, a collective of influential athletes that the brand learns from to champion women and girls in sport, inform innovative product creation, and create meaningful experiences.A mother of a six-year-old daughter, Faith shares that “I want to empower women to know that anything is possible. You can go on maternity leave and come back as strong as before — or stronger. Being a mother is something special, and it makes you stronger. It is not the end of your career.” Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"This is what happens when you have relentless belief.The U.S. Women’s National Team claimed Olympic gold in the final match today at the storied Parc Des Princes in Paris. The victory marks their seventh Olympic medal — and fifth gold — as they’ve made it to the medal podium in every Olympic Games except one since women’s football made its Olympic debut in 1996.Mallory Swanson’s solo goal in the 57th minute secured the 1-0 victory for the Americans.Head coach Emma Hayes, the long-time head coach of Chelsea FC, put together a young and talented 18-player roster that she knew would have the power, positioning and passion to win as a team.Headlining Team USA was first-time Olympian Naomi Girma, who was the National Women’s Soccer League (NWSL) Defender of the Year in 2022 and 2023, as well as U.S. Soccer Female Player of the Year in 2023. Last season’s NWSL Golden Boot winner and Portland Thorns forward Sophia Smith, who also made her Olympic debut, played alongside three-time Olympian and forward Crystal Dunn, midfielder Rose Lavelle, and forward Mallory Swanson. “As a child, anything I did, I didn’t see a point unless I was doing it to win,” Smith told Nike earlier this year. “The only way to have a victory is winning a gold medal.”Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"Did you see that breakaway?! Nike athlete Sifan Hassan claimed gold today in the women’s marathon, clocking a time of 2:22:55, separating herself from a pack of three in the last minutes of the race.The medal was her third of the Paris Games, as she secured bronze in the 5,000 meter on August 5 and 10,000 meter on August 9. She is the first athlete to complete this triple feat since Czech runner Emil Zátopek swept gold in the 1952 Summer Olympics in Helsinki.“When running, sometimes I feel good…and sometimes I feel bad and feel like I can’t continue,” says the 31-year-old Dutch athlete. “Life is the same way, and that’s what makes life beautiful, the way it goes up and down.” As of late July, the versatile runner ranked as the 22nd-fastest woman in the 1,500 meter, seventh-fastest in the 5,000 meter, ninth-fastest in the 10,000 meter and second-fastest in the marathon.In 2021, she became the only athlete in Olympic history to medal in the 1,500, 5,000 and 10,000 meter events at the same Olympics Games. Last fall, Sifan won the 2023 Chicago Marathon — and achieved the second-fastest women’s marathon finish of all time — in 2:13:44.Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"When you work at Nike, one of the perks of the job is the opportunity for epic runs.  We captured the moment last week when 12 of our Asia Pacific and Latin America (APLA) teammates — who represent one of our most diverse geographies, serving nearly half the world’s population — ran the relay of all relays, Hood to Coast. A pinnacle Nike employee and running experience, together, the “APLA on the Run” team ran more than 196 miles from Mount Hood to the Oregon Coast. The result: Incredible team memories and feeling forever inspired by the power of sport. Check out more ways we build and invest in our Nike teams: https://lnkd.in/dpWnGc33 hashtag#JustDoIt hashtag#SwooshLife hashtag#Nike



…more",None,Video,,0,0,0
"Our time in Paris isn't over — and we know our Nike athletes are there to win 🥇Find out more here:https://lnkd.in/gQaHbFKm hashtag#JustDoIt hashtag#Paralympics hashtag#Paris2024



…more",None,Video,,0,0,0
"That’s a first Olympic gold for Nike athlete Qinwen Zheng — and the first Chinese tennis player to top the Olympic podium.“My teammates often describe me as having a fire inside,” says the 21-year-old.“That requires knowing how to use it against your opponent instead of yourself.I channel my competitive spirit in a very positive way. Only by doing this canI challenge higher-ranked players.”Your game was on fire today, Qinwen Zheng 🔥  Congrats on gold!Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gpcCTSuehashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"Best collab …ever? NIKE, Inc. and the LEGO Group are proud to announce a multi-year partnership that will celebrate sport and creative play, creating new and exciting opportunities for kids and families worldwide.“At Nike, we believe in the power of sport to move the world forward, and that starts with kids,” says McCallester Dowers. “We’re committed to creating a more accessible and inclusive future that inspires kids of all ages and abilities to be more active. Together, with the LEGO Group, we’re excited to invite all kids into a new vision of sport and creative play.”Find out more about that vision here: https://lnkd.in/gKta_6Ew  hashtag#JustDoIt hashtag#Nike hashtag#LEGO



…more",None,Video,,0,0,0
"Yep, that one went well 👍 In 13:13.66 time, Nike athlete Jakob Ingebrigtsen won gold in Paris in the 5,000-meter race, his second final race of the week after taking fourth in the 1,500 meter on Tuesday. This is his second Olympic gold after winning the 1,500 meter in Tokyo in 2021.“Every part of me is about winning. It's the most important thing, and it’s what I’m going to chase,” says the Norwegian middle-distance runner. “To be able to win, you need to visualize yourself as the best. I need to see myself on top of my opponents to be able to win.” When he was 16 years old, he became the youngest man in history to run a mile in less than 4 minutes. Jakob has since shattered records, including clocking two miles in under 8 minutes — a feat matched by only one other runner in the world. Now, the 23-year-old is one of the world leaders in both the mile and the 5,000 meter.Jakob attributes his success in part to his drive to compete against his two older brothers, Henrik and Filip. “When I was young, saying that I wanted to be like my brother was synonymous with saying, ‘I want to beat them,’” he says. “Weirdly, we feel like we’re part of each other’s process when we achieve some kind of success.”The three Ingebrigtsen brothers paced with Eliud Kipchoge for Breaking2. “Seeing the level of athletes who trained alongside him was crazy,” says Jakob. “At the end of the day, we all have the same goal: to see how fast human beings can go at different distances. We’re competing for that honor, but we’re also united by that competition.”Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"The USA Women’s Artistic Gymnastics Team has reclaimed its title: Olympic champions 🥇 Nike Athlete Jordan Chiles helped Team USA clinch gold, competing in all four events — vault, uneven bars, balance beam and floor exercise, where she put up an incredible 13.966 score in her hip hop-inspired performance.The 23-year-old says she began this year with a whole new sense of confidence and commitment. ""In my heart and my mind, this was all about finishing what I started [in Tokyo] and feeling confident in myself going into Paris. Going in with that confidence, putting my foot down and saying, 'This is who I am,' and then showing it to the world, alongside my teammates,"" Jordan says.Congrats on finishing the job, Jordan, and all of Team USA ✨ Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"Did you see that final trick from Nike athlete Yuto Horigome? 👀 The 25-year-old Japanese skateboarder took home his second Olympic gold medal in men’s street skateboarding today after landing a nollie 270 noseblunt slide.“In skateboarding, there is no right or wrong; but I can’t help but search for what the right thing to do is. I don’t think there is an answer,” he says. “But when I have faith in myself, I think I’ll be able to achieve my dreams. Having trust in yourself is the most important thing — having the confidence to believe in yourself.""Check out all the stories on our inspiring Nike athletes here: https://lnkd.in/gfSdageahashtag#Paris2024 hashtag#Olympics hashtag#JustDoIt



…more",None,Image,,0,0,0
"“There are still so many stigmas around motherhood, especially through the lens of sport,” says Fanny Yung Ho, Nike Senior Manager, Design Innovation.  “Our team asked ourselves, how do we break down those barriers? How do we celebrate motherhood more?” The answer: the Nike (M) Swoosh Bra — the brand’s first nursing sports bra that’s compatible with wearable breast pumps, allowing mothers to unlock movement without compromising comfort or support. The bra has proprietary Nike hardware that helps ensure the clips stand up to lunges and burpees while pumping, along with offering easy access for nursing and adjustability for up to two full cup sizes. “With this bra, we want to empower women to say, ‘Here I am — I’m pumping, I’m moving, I’m proud to be a mom, I’m proud to be an athlete, and I can be both at the same time,'” says Ho. Check out all the features of the Nike (M) Swoosh Bra: https://lnkd.in/gRRJkbUVAnd learn how Ho and the Nike innovation team pulled off designing the bra during the height of the pandemic: https://lnkd.in/gSmfdchK hashtag#JustDoIt hashtag#SwooshLife hashtag#MothersDay



…more",None,Image,,0,0,0
"The world’s best athletes aren't just motivated by the idea of winning — they are relentlessly fueled by it. That mindset is on display in Nike’s summer 2024 campaign, “Winning Isn’t for Everyone.” Nike and a collective of its elite athletes are showing the world what passion for winning means, and that celebrating the pursuit of victory can be the ultimate source of inspiration for all athletes.Learn more about the campaign: https://lnkd.in/gQaHbFKmhashtag#JustDoIt hashtag#SwooshLife hashtag#WinningIsntForEveryone



…more",https://www.youtube.com/watch?v=pwLergHG81c,Article,,0,0,0
